pitcher,pitcher_team,batter,opposing_team,matchup,PA,AB,H,HR,BB,K,AVG,OBP,SLG,OPS
Jesús Luzardo,Philadelphia Phillies,Manny Machado,San Diego Padres,Philadelphia Phillies @ San Diego Padres,8,6,2,2,2,3,0.333,0.5,1.333,1.833
Jacob Misiorowski,Milwaukee Brewers,Iván Herrera,St. Louis Cardinals,St. Louis Cardinals @ Milwaukee Brewers,7,6,3,1,1,1,0.5,0.571,1.167,1.738
Matthew Liberatore,St. Louis Cardinals,Joey Ortiz,Milwaukee Brewers,St. Louis Cardinals @ Milwaukee Brewers,6,4,2,0,1,1,0.5,0.6,1.0,1.6
Emmet Sheehan,Los Angeles Dodgers,Kyle Karros,Colorado Rockies,Colorado Rockies @ Los Angeles Dodgers,7,5,2,1,1,2,0.4,0.429,1.0,1.429
Zebby Matthews,Minnesota Twins,Edgar Quero,Chicago White Sox,Minnesota Twins @ Chicago White Sox,5,5,2,1,0,0,0.4,0.4,1.0,1.4
Zebby Matthews,Minnesota Twins,Colson Montgomery,Chicago White Sox,Minnesota Twins @ Chicago White Sox,6,6,2,1,0,2,0.333,0.333,1.0,1.333
Carmen Mlodzinski,Pittsburgh Pirates,Ian Happ,Chicago Cubs,Chicago Cubs @ Pittsburgh Pirates,10,9,5,0,1,1,0.556,0.6,0.556,1.156
Carmen Mlodzinski,Pittsburgh Pirates,Nico Hoerner,Chicago Cubs,Chicago Cubs @ Pittsburgh Pirates,10,9,5,0,1,0,0.556,0.6,0.556,1.156
Matthew Liberatore,St. Louis Cardinals,Christian Yelich,Milwaukee Brewers,St. Louis Cardinals @ Milwaukee Brewers,7,7,4,0,0,1,0.571,0.571,0.571,1.142
Jesús Luzardo,Philadelphia Phillies,Fernando Tatis Jr.,San Diego Padres,Philadelphia Phillies @ San Diego Padres,9,7,3,0,2,2,0.429,0.556,0.571,1.127
Carmen Mlodzinski,Pittsburgh Pirates,Dansby Swanson,Chicago Cubs,Chicago Cubs @ Pittsburgh Pirates,10,8,4,0,2,1,0.5,0.6,0.5,1.1
Shane McClanahan,Tampa Bay Rays,Taylor Ward,Baltimore Orioles,Tampa Bay Rays @ Baltimore Orioles,5,5,2,0,0,2,0.4,0.4,0.6,1.0
Matthew Liberatore,St. Louis Cardinals,Jackson Chourio,Milwaukee Brewers,St. Louis Cardinals @ Milwaukee Brewers,8,6,2,0,1,2,0.333,0.375,0.5,0.875
Nick Lodolo,Cincinnati Reds,Tyrone Taylor,New York Mets,Cincinnati Reds @ New York Mets,10,9,2,1,0,3,0.222,0.3,0.556,0.856
Jesús Luzardo,Philadelphia Phillies,Ty France,San Diego Padres,Philadelphia Phillies @ San Diego Padres,6,6,1,1,0,1,0.167,0.167,0.667,0.834
Jesús Luzardo,Philadelphia Phillies,Nick Castellanos,San Diego Padres,Philadelphia Phillies @ San Diego Padres,8,6,2,0,2,4,0.333,0.5,0.333,0.833
Carmen Mlodzinski,Pittsburgh Pirates,Carson Kelly,Chicago Cubs,Chicago Cubs @ Pittsburgh Pirates,7,6,2,0,1,3,0.333,0.429,0.333,0.762
Jacob Misiorowski,Milwaukee Brewers,Pedro Pagés,St. Louis Cardinals,St. Louis Cardinals @ Milwaukee Brewers,6,6,2,0,0,1,0.333,0.333,0.333,0.666
Tanner Bibee,Cleveland Guardians,Curtis Mead,Washington Nationals,Washington Nationals @ Cleveland Guardians,6,6,2,0,0,2,0.333,0.333,0.333,0.666
Matthew Liberatore,St. Louis Cardinals,Blake Perkins,Milwaukee Brewers,St. Louis Cardinals @ Milwaukee Brewers,5,4,1,0,1,2,0.25,0.4,0.25,0.65
Jesús Luzardo,Philadelphia Phillies,Xander Bogaerts,San Diego Padres,Philadelphia Phillies @ San Diego Padres,5,5,1,0,0,1,0.2,0.2,0.4,0.6
Zack Littell,Washington Nationals,José Ramírez,Cleveland Guardians,Washington Nationals @ Cleveland Guardians,9,9,2,0,0,1,0.222,0.222,0.333,0.555
Emmet Sheehan,Los Angeles Dodgers,Tyler Freeman,Colorado Rockies,Colorado Rockies @ Los Angeles Dodgers,6,5,1,0,1,3,0.2,0.333,0.2,0.533
Will Warren,New York Yankees,Maikel Garcia,Kansas City Royals,New York Yankees @ Kansas City Royals,6,6,1,0,0,1,0.167,0.167,0.333,0.5
Carmen Mlodzinski,Pittsburgh Pirates,Seiya Suzuki,Chicago Cubs,Chicago Cubs @ Pittsburgh Pirates,11,10,2,0,1,5,0.2,0.273,0.2,0.473
Zack Littell,Washington Nationals,Steven Kwan,Cleveland Guardians,Washington Nationals @ Cleveland Guardians,7,6,1,0,1,1,0.167,0.286,0.167,0.453
Matthew Liberatore,St. Louis Cardinals,Sal Frelick,Milwaukee Brewers,St. Louis Cardinals @ Milwaukee Brewers,7,7,1,0,0,2,0.143,0.143,0.286,0.429
Nick Lodolo,Cincinnati Reds,Vidal Bruján,New York Mets,Cincinnati Reds @ New York Mets,5,3,0,0,1,1,0.0,0.4,0.0,0.4
Shane McClanahan,Tampa Bay Rays,Gunnar Henderson,Baltimore Orioles,Tampa Bay Rays @ Baltimore Orioles,5,5,1,0,0,1,0.2,0.2,0.2,0.4
Will Warren,New York Yankees,Jac Caglianone,Kansas City Royals,New York Yankees @ Kansas City Royals,5,5,1,0,0,2,0.2,0.2,0.2,0.4
Will Warren,New York Yankees,Vinnie Pasquantino,Kansas City Royals,New York Yankees @ Kansas City Royals,5,5,1,0,0,1,0.2,0.2,0.2,0.4
Shane McClanahan,Tampa Bay Rays,Adley Rutschman,Baltimore Orioles,Tampa Bay Rays @ Baltimore Orioles,14,11,1,0,3,4,0.091,0.286,0.091,0.377
Will Warren,New York Yankees,Bobby Witt Jr.,Kansas City Royals,New York Yankees @ Kansas City Royals,6,6,1,0,0,2,0.167,0.167,0.167,0.334
Emmet Sheehan,Los Angeles Dodgers,Ezequiel Tovar,Colorado Rockies,Colorado Rockies @ Los Angeles Dodgers,14,14,2,0,0,5,0.143,0.143,0.143,0.286
Jacob Misiorowski,Milwaukee Brewers,Alec Burleson,St. Louis Cardinals,St. Louis Cardinals @ Milwaukee Brewers,7,7,1,0,0,0,0.143,0.143,0.143,0.286
Matthew Liberatore,St. Louis Cardinals,William Contreras,Milwaukee Brewers,St. Louis Cardinals @ Milwaukee Brewers,9,7,0,0,2,1,0.0,0.222,0.0,0.222
Zebby Matthews,Minnesota Twins,Andrew Benintendi,Chicago White Sox,Minnesota Twins @ Chicago White Sox,5,4,0,0,1,0,0.0,0.2,0.0,0.2
Carmen Mlodzinski,Pittsburgh Pirates,Pete Crow-Armstrong,Chicago Cubs,Chicago Cubs @ Pittsburgh Pirates,11,11,1,0,0,3,0.091,0.091,0.091,0.182
Carmen Mlodzinski,Pittsburgh Pirates,Michael Busch,Chicago Cubs,Chicago Cubs @ Pittsburgh Pirates,11,10,0,0,1,2,0.0,0.091,0.0,0.091
Emmet Sheehan,Los Angeles Dodgers,Hunter Goodman,Colorado Rockies,Colorado Rockies @ Los Angeles Dodgers,8,8,0,0,0,4,0.0,0.0,0.0,0
Matthew Liberatore,St. Louis Cardinals,Brice Turang,Milwaukee Brewers,St. Louis Cardinals @ Milwaukee Brewers,10,10,0,0,0,2,0.0,0.0,0.0,0
Shane McClanahan,Tampa Bay Rays,Tyler O'Neill,Baltimore Orioles,Tampa Bay Rays @ Baltimore Orioles,6,6,0,0,0,2,0.0,0.0,0.0,0
Zack Littell,Washington Nationals,Daniel Schneemann,Cleveland Guardians,Washington Nationals @ Cleveland Guardians,6,6,0,0,0,3,0.0,0.0,0.0,0
