Batter,Team,PA,AB,H,2B,3B,HR,BB,HBP,AVG,OBP,SLG,OPS
Lawrence Butler,Athletics,5.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,0.5,0.6,1.25,1.85
Gunnar Henderson,Baltimore Orioles,6.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,0.75,0.833,0.75,1.583
Andrew Benintendi,Chicago White Sox,5.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.75,0.8,0.75,1.55
Jorge Polanco,New York Mets,8.0,8.0,4.0,1.0,0.0,1.0,0.0,0.0,0.5,0.5,1.0,1.5
Ryan Mountcastle,Baltimore Orioles,6.0,6.0,3.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,1.0,1.5
Jeremy Peña,Houston Astros,10.0,8.0,4.0,1.0,1.0,0.0,2.0,0.0,0.5,0.6,0.875,1.475
Alex Bregman,Chicago Cubs,13.0,11.0,4.0,1.0,0.0,2.0,2.0,0.0,0.364,0.462,1.0,1.462
William Contreras,Milwaukee Brewers,5.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.4,0.4,1.0,1.4
Brice Turang,Milwaukee Brewers,5.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.25,0.4,1.0,1.4
Trevor Story,Boston Red Sox,5.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.5,0.6,0.75,1.35
